emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
19,26,47,204,197,85,34,18
17,23,47,204,168,88,30,18
16,21,36,200,177,81,29,16
18,21,43,198,189,77,31,17
17,20,45,213,188,86,32,18
16,19,47,203,208,80,31,16
15,19,45,172,207,75,29,16
17,20,50,171,209,78,30,16
19,22,44,143,225,81,30,19
20,22,43,130,223,66,29,22
22,23,46,157,196,68,30,22
22,23,50,164,190,63,30,21
21,21,50,166,171,61,27,23
18,20,50,168,156,55,26,20
18,19,53,183,152,75,26,19
17,19,51,202,159,73,25,20
19,23,61,236,223,94,28,24
23,32,78,339,309,111,33,26
31,53,141,577,364,179,40,35
33,55,160,673,497,222,44,36
40,68,187,790,573,252,52,46
91,140,299,968,808,289,101,91
101,147,313,1024,964,297,116,107
101,146,324,1054,1110,337,120,108
113,170,374,1089,1232,337,128,115
117,178,393,1119,1391,356,128,116
91,135,319,1013,1319,374,99,93
88,142,341,1018,1276,437,108,86
96,157,364,1013,1228,437,130,95
91,148,339,1057,1213,438,146,97
40,68,187,790,573,252,52,46
91,140,299,968,808,289,101,91
101,147,313,1024,964,297,116,107
101,146,324,1054,1110,337,120,108
113,170,374,1089,1232,337,128,115
117,178,393,1119,1391,356,128,116
91,135,319,1013,1319,374,99,93
88,142,341,1018,1276,437,108,86
96,157,364,1013,1228,437,130,95
91,148,339,1057,1213,438,146,97
88,140,316,1101,1117,439,156,99
87,144,330,1170,1111,416,157,100
99,153,333,1149,1120,352,150,106
100,148,301,1085,1131,333,156,108
92,135,270,979,983,313,136,99
91,131,257,893,897,315,130,99
90,131,259,819,949,310,132,96
80,127,278,927,918,327,132,88
75,121,270,926,879,301,109,77
82,133,312,1096,942,346,115,86
84,137,323,1040,917,318,113,84
82,133,311,1048,846,311,106,80
74,118,262,947,783,312,95,75
73,115,254,990,764,297,78,72
68,104,212,894,741,250,75,63
64,100,212,920,829,283,62,57
65,100,215,878,812,289,64,59
69,103,222,850,833,280,66,59
69,108,250,843,817,273,69,58
68,106,244,831,782,256,68,60
84,137,323,1040,917,318,113,84
82,133,311,1048,846,311,106,80
74,118,262,947,783,312,95,75
73,115,254,990,764,297,78,72
68,104,212,894,741,250,75,63
64,100,212,920,829,283,62,57
65,100,215,878,812,289,64,59
69,103,222,850,833,280,66,59
69,108,250,843,817,273,69,58
68,106,244,831,782,256,68,60
65,101,230,802,739,306,69,60
64,102,238,825,852,303,68,59
58,93,221,853,822,298,64,54
51,76,172,804,786,310,63,51
48,72,162,753,798,334,53,45
48,72,157,754,780,289,53,44
42,62,137,844,653,277,51,41
41,62,137,861,644,256,47,39
45,67,142,854,720,255,49,42
46,62,141,809,710,249,47,42
46,61,137,813,671,195,52,41
47,61,127,734,645,213,50,39
52,64,133,685,629,213,54,46
49,61,126,645,498,220,52,42
54,78,152,704,567,214,59,49
54,80,160,725,549,214,54,49
58,85,169,701,662,236,57,52
51,79,160,682,703,248,53,47
50,79,161,676,728,258,50,45
43,64,149,624,638,238,42,35
46,61,137,813,671,195,52,41
47,61,127,734,645,213,50,39
52,64,133,685,629,213,54,46
49,61,126,645,498,220,52,42
54,78,152,704,567,214,59,49
54,80,160,725,549,214,54,49
58,85,169,701,662,236,57,52
51,79,160,682,703,248,53,47
50,79,161,676,728,258,50,45
43,64,149,624,638,238,42,35
44,64,146,688,641,237,46,40
39,55,134,661,520,203,44,39
42,57,136,686,510,232,49,42
45,58,141,710,532,213,52,45
42,57,134,711,527,244,50,45
41,57,140,639,561,257,45,41
41,58,139,637,630,285,47,40
39,58,137,676,656,280,43,38
37,55,126,687,636,289,47,39
41,59,122,769,698,293,55,41
39,57,107,754,669,283,56,42
38,57,114,794,604,274,56,44
36,56,115,792,564,295,56,43
35,57,134,857,637,294,51,40
42,72,160,750,613,282,46,44
43,74,167,779,626,312,52,43
45,77,174,734,654,299,51,43
47,81,181,707,695,262,50,43
49,81,174,624,653,245,54,46
39,65,144,647,595,252,57,40
39,57,107,754,669,283,56,42
38,57,114,794,604,274,56,44
36,56,115,792,564,295,56,43
35,57,134,857,637,294,51,40
42,72,160,750,613,282,46,44
43,74,167,779,626,312,52,43
45,77,174,734,654,299,51,43
47,81,181,707,695,262,50,43
49,81,174,624,653,245,54,46
39,65,144,647,595,252,57,40
40,64,154,644,608,252,54,40
39,61,148,640,631,251,53,38
38,58,141,589,623,248,52,38
41,65,150,688,642,285,49,36
46,73,161,752,656,277,45,43
47,77,154,727,646,264,47,48
48,78,157,803,607,286,48,50
47,76,153,812,576,281,50,51
44,69,140,720,531,277,48,52
41,65,138,670,559,265,50,49
39,62,142,654,557,256,46,43
37,58,129,568,584,230,44,40
39,63,137,567,589,286,42,40
41,61,135,530,603,304,44,39
38,57,122,556,642,303,43,36
36,52,104,590,642,301,45,35
40,55,119,640,625,313,48,37
36,51,119,662,716,292,47,34
36,52,132,719,710,264,48,34
38,57,141,700,693,305,53,36
39,62,142,654,557,256,46,43
37,58,129,568,584,230,44,40
39,63,137,567,589,286,42,40
41,61,135,530,603,304,44,39
38,57,122,556,642,303,43,36
36,52,104,590,642,301,45,35
40,55,119,640,625,313,48,37
36,51,119,662,716,292,47,34
36,52,132,719,710,264,48,34
38,57,141,700,693,305,53,36
41,65,158,685,792,308,54,40
38,61,145,628,768,304,52,39
37,58,139,629,713,284,56,39
37,58,123,584,679,275,56,44
38,55,118,565,638,251,51,45
39,48,104,540,479,264,48,43
39,49,107,547,534,249,46,42
42,51,98,529,486,246,41,43
44,55,112,538,511,274,41,41
45,59,122,565,551,270,41,42
45,64,126,604,587,250,52,44
45,62,127,650,545,261,52,43
43,63,131,681,572,270,53,44
43,60,119,659,562,263,52,43
43,57,108,657,541,255,54,42
43,56,112,687,554,251,50,40
46,60,126,644,597,267,55,42
45,59,130,605,568,311,56,41
45,60,140,730,629,279,57,44
40,54,144,796,641,274,55,41
45,64,126,604,587,250,52,44
45,62,127,650,545,261,52,43
43,63,131,681,572,270,53,44
43,60,119,659,562,263,52,43
43,57,108,657,541,255,54,42
43,56,112,687,554,251,50,40
46,60,126,644,597,267,55,42
45,59,130,605,568,311,56,41
45,60,140,730,629,279,57,44
40,54,144,796,641,274,55,41
40,59,149,821,668,316,49,38
43,64,144,806,745,303,48,45
48,74,153,893,742,240,50,50
50,78,168,816,711,237,50,50
51,83,164,822,739,255,52,49
51,82,156,777,719,243,57,54
46,79,150,823,626,229,55,50
43,71,140,743,620,255,55,49
43,68,121,786,611,263,57,47
48,75,136,713,602,247,54,52
48,72,141,681,567,209,50,49
52,77,147,635,550,218,50,49
51,75,149,631,540,191,45,44
